id,name,year_established,country,description,url,has_trading_incentive,trust_score,trust_score_rank,trade_vol_24h_btc,trade_vol_24h_btc_normalized,trade_vol_24h_usd,trade_vol_24h_usd_normalized,age_of_exchange,ingested_at
deepcoin,Deepcoin,2018.0,Seychelles,"Deepcoin Exchange offers groundbreaking tools for you to buy and sell over 120 cryptocurrencies. Since 2018, we have provided a secure and reliable way for you to invest in spot and futures trading to our over 1 million users.",https://www.deepcoin.com/,False,8.0,28.0,4626.2836886122905,4508.703641544753,294857301.20,287363308.68,6.0,2024-06-23 22:50:18.517587
bigone,BigONE,2017.0,Seychelles,,https://bigone.com,False,8.0,29.0,3826.2343834845883,3826.2343834845883,243865966.73,243865966.73,7.0,2024-06-23 22:50:18.517587
bitmax,AscendEX (BitMax),2018.0,Singapore,"AscendEX (formerly BitMax) is a leading global digital asset financial platform founded by a group of Wall Street quantitative trading veterans in 2018, building on core value of “Efficiency, Resilience and Transparency.” 
 
Driven by its continuous innovative product development and early-mover advantage in strategic alignment with the leading projects from DeFi ecosystem, AscendEX offers trading services across over 200 trading pairs across cash, margin, and futures products, in particular margin trading of over 50 tokens in cross-asset collateral mode and futures trading in both cross-asset and isolated margin modes.",https://ascendex.com/en/global-digital-asset-platform,False,8.0,30.0,9601.326792364878,3728.4210709475897,611942867.43,237631811.78,6.0,2024-06-23 22:50:18.517587
bitrue,Bitrue,2018.0,Seychelles,,https://www.bitrue.com/,False,8.0,31.0,10703.682494191044,3533.874216836386,682201772.65,225232321.34,6.0,2024-06-23 22:50:18.517587
azbit,Azbit,,Seychelles,"Azbit is a new generation exchange offering the most in-demand services on the market. Spot exchange, margin trading, crypto-backed loans.",https://azbit.com/,False,8.0,32.0,3213.395904732504,3207.8451503470524,204806559.20,204452780.54,,2024-06-23 22:50:18.517587
btse,BTSE,2018.0,British Virgin Islands,"BTSE is a leading digital asset exchange that empowers users by offering a simple and secure way to trade. Its growing suite of financial services is designed to bridge traditional finance with digital assets solutions. BTSE's innovative technology offers a set of digital financial solutions featuring multi-currency spot and derivatives trading, in addition to NFT and exchange white labels, over-the-counter (OTC) trading, asset management, and payment gateways. Additionally, BTSE provides an all-in-one order book, strict security protocols, an insurance fund, cold storage for more than 99% of assets and no withdrawal limits on over 12 fiat currencies and 100 cryptocurrencies.",https://www.btse.com/,False,8.0,33.0,1234.9968949345664,1234.9968949345664,78712823.50,78712823.50,6.0,2024-06-23 22:50:18.517587
bitvavo,Bitvavo,2018.0,Netherlands,,https://bitvavo.com/en,False,8.0,34.0,991.0309127694152,991.0309127694152,63163593.07,63163593.07,6.0,2024-06-23 22:50:18.517587
phemex,Phemex,2019.0,Singapore,"Launched in 2019, Phemex is a Singapore-based cryptocurrency and derivatives trading platform led by former Morgan Stanley executives. Serving around 5 million active users in over 200 countries, Phemex supports 150+ trading pairs with up to 100x leverage.

-  Fee Structure: 0.1% for both maker and taker
-  Contract Fee Structure: 0.01% for maker and 0.06% for taker
-  Up to $100 Welcome Bonus for new users
-  Earn up to 8.5% APY interest income on crypto assets
-  Free academy with 450+ carefully curated articles about crypto & trading
-  Security: Hierarchical Deterministic Cold Wallet System with 2-level human scrutiny offline signatures.",https://phemex.com/,False,8.0,35.0,958.5858887828794,788.2761248588639,61095701.68,50240968.00,5.0,2024-06-23 22:50:18.517587
exmo,EXMO,2014.0,United Kingdom,,https://exmo.com/,False,8.0,36.0,829.2650241278467,781.6430230710425,52853405.34,49818205.67,10.0,2024-06-23 22:50:18.517587
pointpay,PointPay,2018.0,Saint Vincent and the Grenadines,,https://exchange.pointpay.io/,False,8.0,37.0,760.4276238460957,760.4276238460957,48466037.11,48466037.11,6.0,2024-06-23 22:50:18.517587
